date, pm25, pm10, o3, no2, so2, co
2025/7/24, 39, 12, , 1, , 
2025/7/25, 20, 7, , 1, , 
2025/7/26, 16, 11, , 1, , 
2025/7/27, 29, 10, , 3, , 
2025/7/28, 23, 13, , 3, , 
2025/7/29, 30, 9, , 2, , 
2025/7/30, 16, 11, , 4, , 
2025/7/31, 24, 18, , 6, , 
2025/8/1, 36, 23, , 4, , 
2025/8/2, 51, 18, , 5, , 
2025/8/3, 46, 16, , 2, , 
2025/8/4, 38, 20, , 5, , 
2025/8/5, 42, 37, , 8, , 
2025/8/6, 68, 34, , 5, , 
2025/8/7, 56, 33, , 13, , 
2025/8/8, 49, 45, , 8, , 
2025/8/9, 61, 35, , 5, , 
2025/8/10, 51, 30, , 2, , 
2025/8/11, 55, 34, , 6, , 
2025/8/12, 59, 33, , 6, , 
2025/8/13, 58, 28, , 5, , 
2025/8/14, 51, 27, , 5, , 
2025/8/15, 57, 24, , 6, , 
2025/8/16, 51, 32, , 7, , 
2025/8/17, 64, 34, , 3, , 
2025/8/18, 64, 56, , 9, , 
2025/8/19, 95, 44, , 6, , 
2025/8/20, 100, 30, , 3, , 
2025/8/21, 74, 17, , 3, , 
2025/8/22, 42, 15, , 2, , 
2025/8/23, 34, 21, , 3, , 
2025/8/24, 48, 24, , 8, , 
2025/8/25, 52, 30, , 10, , 
2025/8/26, 50, 55, , 6, , 
2025/8/27, 83, 48, , 5, , 
2025/8/28, 76, 13, , 3, , 
2025/8/29, 20, 14, , 2, , 
2025/8/30, 29, 11, , 3, , 
2025/8/31, 23, 13, , 2, , 
2025/9/1, 22, 9, , 3, , 
2025/9/2, 14, 12, , 5, , 
2025/9/3, 22, 14, , 7, , 
2025/9/4, 23, 13, , 7, , 
2025/9/5, 34, 22, , 4, , 
2025/9/6, 40, 30, , 3, , 
2025/9/7, 74, 31, , 4, , 
2025/9/8, 64, 20, , 8, , 
2025/9/9, 56, 5, , 5, , 
2025/9/10, 9, 10, , 7, , 
2025/9/11, 20, 9, , 6, , 
2025/9/12, 14, 9, , 7, , 
2025/9/13, 17, 11, , 7, , 
2025/9/14, 19, 11, , 8, , 
2025/9/15, 25, 17, , 13, , 
2025/9/16, 31, 17, , 11, , 
2025/9/17, 28, 11, , 6, , 
2025/9/18, 18, 24, , 18, , 
2025/9/19, 39, 32, , 11, , 
2025/9/20, 45, 33, , 7, , 
2025/9/21, 72, 16, , 4, , 
2025/9/22, 25, 7, , 5, , 
2025/9/23, 12, 8, , 3, , 
2025/9/24, 13, 9, , 6, , 
2025/9/25, 16, 12, , 7, , 
2025/9/26, 20, 17, , 10, , 
2025/9/27, 27, 22, , 12, , 
2025/9/28, 41, 17, , 6, , 
2025/9/29, 33, 10, , 3, , 
2025/9/30, 15, 12, , 6, , 
2025/10/1, 24, 16, , 11, , 
2025/4/2, 40, 22, , 12, , 
2025/4/3, 39, 7, , 8, , 
2025/4/4, 18, 17, , 9, , 
2025/4/5, 40, 10, , 8, , 
2025/4/6, 21, 16, , 11, , 
2025/4/7, 42, 14, , 14, , 
2025/4/8, 35, 14, , 10, , 
2025/4/9, 30, 19, , 11, , 
2025/4/10, 41, 20, , 10, , 
2025/4/11, 35, 15, , 7, , 
2025/4/12, 35, 19, , 8, , 
2025/4/13, 47, 14, , 6, , 
2025/4/14, 39, 13, , 8, , 
2025/4/15, 30, 5, , 5, , 
2025/4/16, 13, 6, , 5, , 
2025/4/17, 15, 7, , 3, , 
2025/4/18, 15, 8, , 4, , 
2025/4/19, 19, 6, , 2, , 
2025/4/20, 13, 7, , 3, , 
2025/4/21, 17, 12, , 8, , 
2025/4/22, 29, 9, , 7, , 
2025/4/23, 22, 13, , 11, , 
2025/4/24, 30, 15, , 12, , 
2025/4/25, 33, 17, , 13, , 
2025/4/26, 39, 9, , 4, , 
2025/4/27, 22, 4, , 4, , 
2025/4/28, 12, 8, , 5, , 
2025/4/29, 16, 9, , 3, , 
2025/4/30, 18, 16, , 4, , 
2025/5/1, 33, 20, , 5, , 
2025/5/2, 37, 13, , 4, , 
2025/5/3, 28, 9, , 5, , 
2025/5/4, 20, 6, , 3, , 
2025/5/5, 15, 9, , 9, , 
2025/5/6, 19, 9, , 5, , 
2025/5/7, 21, 10, , 7, , 
2025/5/8, 25, 13, , 10, , 
2025/5/9, 35, 14, , 8, , 
2025/5/10, 32, 11, , 7, , 
2025/5/11, 27, 8, , 4, , 
2025/5/12, 20, 13, , 9, , 
2025/5/13, 30, 11, , 8, , 
2025/5/14, 26, 12, , 9, , 
2025/5/15, 28, 9, , 6, , 
2025/5/16, 22, 10, , 8, , 
2025/5/17, 23, 12, , 7, , 
2025/5/18, 32, 18, , 11, , 
2025/5/19, 40, 12, , 11, , 
2025/5/20, 26, 9, , 9, , 
2025/5/21, 19, 12, , 13, , 
2025/5/22, 28, 10, , 5, , 
2025/5/23, 20, 7, , 4, , 
2025/5/24, 12, 8, , 6, , 
2025/5/25, 19, 11, , 8, , 
2025/5/26, 28, 16, , 9, , 
2025/5/27, 39, 13, , 9, , 
2025/5/28, 26, 18, , 11, , 
2025/5/29, 40, 19, , 9, , 
2025/5/30, 37, 26, , 13, , 
2025/5/31, 48, 25, , 4, , 
2025/6/1, 46, 24, , 5, , 
2025/6/2, 47, 24, , 7, , 
2025/6/3, 43, 23, , 7, , 
2025/6/4, 50, 16, , 7, , 
2025/6/5, 39, 12, , 8, , 
2025/6/6, 25, 16, , 9, , 
2025/6/7, 34, 15, , 7, , 
2025/6/8, 34, , , , , 
2025/6/9, 70, 31, , 9, , 
2025/6/10, 53, 34, , 9, , 
2025/6/11, 62, 45, , 8, , 
2025/6/12, 94, 55, , 9, , 
2025/6/13, 129, 13, , 11, , 
2025/6/14, 15, 18, , 8, , 
2025/6/15, 41, 28, , 5, , 
2025/6/16, 52, 41, , 4, , 
2025/6/17, 74, 23, , 13, , 
2025/6/18, 59, 32, , 10, , 
2025/6/19, 58, 30, , 9, , 
2025/6/20, 45, 28, , 6, , 
2025/6/21, 48, 32, , 5, , 
2025/6/22, 57, 23, , 4, , 
2025/6/23, 52, 31, , 6, , 
2025/6/24, 58, 32, , 7, , 
2025/6/25, 62, 46, , 7, , 
2025/6/26, 138, 12, , 9, , 
2025/6/27, 47, 23, , 11, , 
2025/6/28, 52, 19, , 7, , 
2025/6/29, 45, 22, , 3, , 
2025/6/30, 49, 30, , 6, , 
2025/7/1, 59, 26, , 6, , 
2025/1/2, 42, 22, , 18, , 
2025/1/3, 50, 24, , 16, , 
2025/1/4, 60, 25, , 14, , 
2025/1/5, 64, 25, , 11, , 
2025/1/6, 62, 8, , 4, , 
2025/1/7, 14, 13, , 9, , 
2025/1/8, 18, 14, , 12, , 
2025/1/9, 24, 14, , 7, , 
2025/1/10, 17, 16, , 10, , 
2025/1/11, 25, 12, , 12, , 
2025/1/12, 21, 12, , 12, , 
2025/1/13, 22, 21, , 25, , 
2025/1/14, 35, 14, , 23, , 
2025/1/15, 22, 33, , 32, , 
2025/1/16, 60, 31, , 25, , 
2025/1/17, 51, 9, , 10, , 
2025/1/18, 17, 15, , 18, , 
2025/1/19, 33, 18, , 17, , 
2025/1/20, 42, 20, , 23, , 
2025/1/21, 54, 13, , 18, , 
2025/1/22, 33, 13, , 15, , 
2025/1/23, 27, 18, , 23, , 
2025/1/24, 38, 16, , 19, , 
2025/1/25, 35, 10, , 9, , 
2025/1/26, 16, 12, , 11, , 
2025/1/27, 25, 5, , 7, , 
2025/1/28, 14, 11, , 12, , 
2025/1/29, 15, 15, , 16, , 
2025/1/30, 28, 12, , 12, , 
2025/1/31, 22, 18, , 23, , 
2025/2/1, 33, 20, , 24, , 
2025/2/2, 43, 12, , 18, , 
2025/2/3, 31, 9, , 13, , 
2025/2/4, 16, 19, , 23, , 
2025/2/5, 39, 23, , 26, , 
2025/2/6, 43, 22, , 23, , 
2025/2/7, 42, 26, , 25, , 
2025/2/8, 59, 14, , 12, , 
2025/2/9, 37, 25, , 25, , 
2025/2/10, 65, 25, , 22, , 
2025/2/11, 60, 22, , 17, , 
2025/2/12, 52, 11, , 13, , 
2025/2/13, 26, 17, , 20, , 
2025/2/14, 40, 25, , 27, , 
2025/2/15, 53, 22, , 23, , 
2025/2/16, 52, 18, , 12, , 
2025/2/17, 39, 22, , 21, , 
2025/2/18, 45, 28, , 23, , 
2025/2/19, 52, 31, , 20, , 
2025/2/20, 56, 19, , 20, , 
2025/2/21, 39, 28, , 22, , 
2025/2/22, 56, 17, , 8, , 
2025/2/23, 28, 9, , 14, , 
2025/2/24, 21, 19, , 21, , 
2025/2/25, 42, 10, , 10, , 
2025/2/26, 13, 11, , 15, , 
2025/2/27, 20, 18, , 23, , 
2025/2/28, 41, 18, , 11, , 
2025/3/1, 40, 8, , 5, , 
2025/3/2, 21, 6, , 5, , 
2025/3/3, 17, 4, , 8, , 
2025/3/4, 9, 15, , 10, , 
2025/3/5, 24, 13, , 12, , 
2025/3/6, 24, 14, , 16, , 
2025/3/7, 30, 17, , 14, , 
2025/3/8, 36, 9, , 7, , 
2025/3/9, 20, 10, , 9, , 
2025/3/10, 19, 14, , 11, , 
2025/3/11, 29, 10, , 16, , 
2025/3/12, 19, 17, , 14, , 
2025/3/13, 30, 13, , 12, , 
2025/3/14, 23, 8, , 7, , 
2025/3/15, 12, 11, , 12, , 
2025/3/16, 23, 13, , 9, , 
2025/3/17, 28, 9, , 12, , 
2025/3/18, 20, 8, , 13, , 
2025/3/19, 18, 13, , 7, , 
2025/3/20, 27, 18, , 9, , 
2025/3/21, 30, 11, , 9, , 
2025/3/22, 18, 9, , 5, , 
2025/3/23, 15, 9, , 6, , 
2025/3/24, 14, 9, , 12, , 
2025/3/25, 16, 4, , 9, , 
2025/3/26, 14, 10, , 11, , 
2025/3/27, 23, 11, , 8, , 
2025/3/28, 29, 11, , 8, , 
2025/3/29, 27, 13, , 7, , 
2025/3/30, 32, 8, , 7, , 
2025/3/31, 19, 11, , 12, , 
2025/4/1, 23, 21, , 19, , 
2024/10/2, 39, 15, , 13, , 
2024/10/3, 25, 6, , 13, , 
2024/10/4, 11, 9, , 19, , 
2024/10/5, 14, 11, , 14, , 
2024/10/6, 22, 49, , 6, , 
2024/10/7, 69, 36, , 12, , 
2024/10/8, 50, 11, , 13, , 
2024/10/9, 18, 15, , 12, , 
2024/10/10, 21, 9, , 17, , 
2024/10/11, 21, 14, , 15, , 
2024/10/12, 26, 16, , 12, , 
2024/10/13, 26, 7, , 12, , 
2024/10/14, 23, 30, , 14, , 
2024/10/15, 37, 39, , 12, , 
2024/10/16, 45, 15, , 13, , 
2024/10/17, 18, 6, , 10, , 
2024/10/18, 15, 12, , 16, , 
2024/10/19, 26, 15, , 15, , 
2024/10/20, 36, 17, , 14, , 
2024/10/21, 46, 22, , 14, , 
2024/10/22, 53, 15, , 8, , 
2024/10/23, 39, 13, , 10, , 
2024/10/24, 30, 16, , 16, , 
2024/10/25, 39, 20, , 20, , 
2024/10/26, 46, 9, , 11, , 
2024/10/27, 24, 6, , 6, , 
2024/10/28, 19, 5, , 6, , 
2024/10/29, 15, 10, , 4, , 
2024/10/30, 27, 44, , 8, , 
2024/10/31, 62, 91, , 12, , 
2024/11/1, 95, 30, , 11, , 
2024/11/2, 56, 16, , 6, , 
2024/11/3, 44, 18, , 9, , 
2024/11/4, 44, 23, , 13, , 
2024/11/5, 52, 37, , 20, , 
2024/11/6, 69, 29, , 14, , 
2024/11/7, 62, 28, , 14, , 
2024/11/8, 61, 33, , 18, , 
2024/11/9, 72, 37, , 17, , 
2024/11/10, 81, 22, , 18, , 
2024/11/11, 61, 14, , 9, , 
2024/11/12, 42, 14, , 9, , 
2024/11/13, 41, 13, , 6, , 
2024/11/14, 43, 19, , 10, , 
2024/11/15, 46, 41, , 10, , 
2024/11/16, 62, 35, , 11, , 
2024/11/17, 62, 35, , 15, , 
2024/11/18, 67, 39, , 19, , 
2024/11/19, 76, 40, , 17, , 
2024/11/20, 85, 20, , 14, , 
2024/11/21, 56, 17, , 12, , 
2024/11/22, 53, 18, , 16, , 
2024/11/23, 51, 21, , 16, , 
2024/11/24, 62, 21, , 12, , 
2024/11/25, 62, 29, , 16, , 
2024/11/26, 60, 20, , 20, , 
2024/11/27, 44, 19, , 17, , 
2024/11/28, 36, 25, , 21, , 
2024/11/29, 43, 34, , 19, , 
2024/11/30, 62, 35, , 13, , 
2024/12/1, 60, 52, , 28, , 
2024/12/2, 84, 43, , 21, , 
2024/12/3, 74, 29, , 12, , 
2024/12/4, 51, 9, , 9, , 
2024/12/5, 15, 26, , 23, , 
2024/12/6, 50, 30, , 22, , 
2024/12/7, 70, 17, , 10, , 
2024/12/8, 40, 13, , 8, , 
2024/12/9, 23, 11, , 10, , 
2024/12/10, 16, 15, , 13, , 
2024/12/11, 28, 10, , 9, , 
2024/12/12, 14, 15, , 12, , 
2024/12/13, 28, 17, , 14, , 
2024/12/14, 39, 34, , 19, , 
2024/12/15, 79, 20, , 17, , 
2024/12/16, 48, 15, , 16, , 
2024/12/17, 28, 29, , 24, , 
2024/12/18, 51, 37, , 24, , 
2024/12/19, 68, 36, , 15, , 
2024/12/20, 48, 12, , 16, , 
2024/12/21, 21, 14, , 19, , 
2024/12/22, 31, 19, , 18, , 
2024/12/23, 49, 10, , 11, , 
2024/12/24, 16, 10, , 14, , 
2024/12/25, 17, 12, , 12, , 
2024/12/26, 24, 23, , 20, , 
2024/12/27, 43, 15, , 12, , 
2024/12/28, 36, 17, , 16, , 
2024/12/29, 45, 14, , 15, , 
2024/12/30, 37, , , , , 
2024/7/2, 17, 5, , 5, , 
2024/7/3, 10, 13, , 11, , 
2024/7/4, 28, 20, , 11, , 
2024/7/5, 40, 25, , 29, , 
2024/7/6, 53, 23, , 8, , 
2024/7/7, 50, 13, , 4, , 
2024/7/8, 35, 19, , 10, , 
2024/7/9, 38, 18, , 11, , 
2024/7/10, 38, 16, , 9, , 
2024/7/11, 41, 19, , 11, , 
2024/7/12, 48, 12, , 8, , 
2024/7/13, 23, 15, , 4, , 
2024/7/14, 30, 11, , 5, , 
2024/7/15, 26, 15, , 7, , 
2024/7/16, 39, 9, , 10, , 
2024/7/17, 15, 19, , 13, , 
2024/7/18, 35, 26, , 15, , 
2024/7/19, 48, 36, , 15, , 
2024/7/20, 49, 20, , 7, , 
2024/7/21, 31, 9, , 3, , 
2024/7/22, 21, 13, , 5, , 
2024/7/23, 20, 17, , 9, , 
2024/7/24, 27, 22, , 11, , 
2024/7/25, 37, 21, , 7, , 
2024/7/26, 39, 35, , 7, , 
2024/7/27, 65, 29, , 6, , 
2024/7/28, 57, 20, , 3, , 
2024/7/29, 21, 43, , 7, , 
2024/7/30, 56, 34, , 9, , 
2024/7/31, 42, 35, , 15, , 
2024/8/1, 47, 23, , 13, , 
2024/8/2, 40, 30, , 10, , 
2024/8/3, 54, 17, , 4, , 
2024/8/4, 44, 18, , 3, , 
2024/8/5, 42, 20, , 8, , 
2024/8/6, 42, 20, , 12, , 
2024/8/7, 46, 18, , 9, , 
2024/8/8, 40, 27, , 10, , 
2024/8/9, 53, 31, , 11, , 
2024/8/10, 56, 24, , 5, , 
2024/8/11, 43, 24, , 5, , 
2024/8/12, 42, 26, , 9, , 
2024/8/13, 46, 22, , 9, , 
2024/8/14, 50, 11, , 7, , 
2024/8/15, 30, 6, , 3, , 
2024/8/16, 10, 10, , 5, , 
2024/8/17, 23, 9, , 5, , 
2024/8/18, 19, 11, , 4, , 
2024/8/19, 27, 23, , 6, , 
2024/8/20, 60, 27, , 6, , 
2024/8/21, 64, 29, , 5, , 
2024/8/22, 61, 36, , 9, , 
2024/8/23, 72, 22, , 10, , 
2024/8/24, 44, 26, , 7, , 
2024/8/25, 54, 24, , 6, , 
2024/8/26, 57, 33, , 7, , 
2024/8/27, 73, 21, , 10, , 
2024/8/28, 49, 28, , 11, , 
2024/8/29, 42, 75, , 9, , 
2024/8/30, 157, 158, , 7, , 
2024/8/31, 177, 18, , 5, , 
2024/9/1, 45, 22, , 10, , 
2024/9/2, 41, 20, , 15, , 
2024/9/3, 48, 13, , 12, , 
2024/9/4, 33, 3, , 5, , 
2024/9/5, 12, 10, , 19, , 
2024/9/6, 23, 13, , 17, , 
2024/9/7, 23, 7, , 13, , 
2024/9/8, 13, 8, , 9, , 
2024/9/9, 15, 14, , 12, , 
2024/9/10, 27, 12, , 10, , 
2024/9/11, 14, 12, , 12, , 
2024/9/12, 17, 11, , 15, , 
2024/9/13, 18, 8, , 5, , 
2024/9/14, 12, 11, , 8, , 
2024/9/15, 18, 10, , 11, , 
2024/9/16, 20, 8, , 6, , 
2024/9/17, 11, 9, , 6, , 
2024/9/18, 14, 19, , 9, , 
2024/9/19, 29, 14, , 9, , 
2024/9/20, 31, 18, , 14, , 
2024/9/21, 47, 16, , 12, , 
2024/9/22, 36, 19, , 15, , 
2024/9/23, 49, 21, , 17, , 
2024/9/24, 52, 17, , 22, , 
2024/9/25, 35, 16, , 15, , 
2024/9/26, 29, 12, , 9, , 
2024/9/27, 14, 7, , 14, , 
2024/9/28, 17, 6, , 7, , 
2024/9/29, 11, 9, , 11, , 
2024/9/30, 19, 17, , 22, , 
2024/10/1, 31, 24, , 27, , 
2024/4/2, 13, 17, , 14, , 
2024/4/3, 28, 12, , 8, , 
2024/4/4, 19, 15, , 16, , 
2024/4/5, 29, 18, , 16, , 
2024/4/6, 35, 36, , 14, , 
2024/4/7, 48, 51, , 12, , 
2024/4/8, 67, 14, , 6, , 
2024/4/9, 16, 11, , 9, , 
2024/4/10, 16, 13, , 10, , 
2024/4/11, 19, 12, , 9, , 
2024/4/12, 17, 23, , 16, , 
2024/4/13, 32, 23, , 17, , 
2024/4/14, 42, 29, , 13, , 
2024/4/15, 48, 36, , 16, , 
2024/4/16, 55, 29, , 11, , 
2024/4/17, 34, 10, , 5, , 
2024/4/18, 10, 8, , 4, , 
2024/4/19, 10, 16, , 10, , 
2024/4/20, 22, 14, , 7, , 
2024/4/21, 22, 11, , 4, , 
2024/4/22, 18, 12, , 3, , 
2024/4/23, 15, 9, , 6, , 
2024/4/24, 14, 12, , 8, , 
2024/4/25, 17, 18, , 12, , 
2024/4/26, 27, 17, , 10, , 
2024/4/27, 25, 13, , 4, , 
2024/4/28, 20, 12, , 7, , 
2024/4/29, 25, 11, , 7, , 
2024/4/30, 18, 15, , 10, , 
2024/5/1, 31, 9, , 3, , 
2024/5/2, 12, 8, , 3, , 
2024/5/3, 14, 9, , 6, , 
2024/5/4, 15, 11, , 4, , 
2024/5/5, 20, 12, , 3, , 
2024/5/6, 28, 12, , 8, , 
2024/5/7, 20, 12, , 7, , 
2024/5/8, 23, 8, , 7, , 
2024/5/9, 14, 16, , 14, , 
2024/5/10, 27, 16, , 13, , 
2024/5/11, 25, 22, , 5, , 
2024/5/12, 34, 17, , 7, , 
2024/5/13, 36, 16, , 10, , 
2024/5/14, 28, 10, , 6, , 
2024/5/15, 14, 11, , 3, , 
2024/5/16, 18, 7, , 7, , 
2024/5/17, 14, 12, , 7, , 
2024/5/18, 17, 7, , 5, , 
2024/5/19, 22, 6, , 4, , 
2024/5/20, 15, 10, , 9, , 
2024/5/21, 20, 10, , 10, , 
2024/5/22, 22, 8, , 8, , 
2024/5/23, 17, 11, , 9, , 
2024/5/24, 25, 14, , 7, , 
2024/5/25, 30, 13, , 8, , 
2024/5/26, 30, 11, , 10, , 
2024/5/27, 28, 12, , 9, , 
2024/5/28, 25, 18, , 8, , 
2024/5/29, 32, 17, , 9, , 
2024/5/30, 31, 17, , 9, , 
2024/5/31, 34, 11, , 4, , 
2024/6/1, 17, 11, , 2, , 
2024/6/2, 15, 9, , 4, , 
2024/6/3, 16, 16, , 7, , 
2024/6/4, 27, 18, , 10, , 
2024/6/5, 38, 23, , 12, , 
2024/6/6, 43, 32, , 12, , 
2024/6/7, 53, 45, , 9, , 
2024/6/8, 58, 38, , 8, , 
2024/6/9, 70, 18, , 6, , 
2024/6/10, 53, 10, , 6, , 
2024/6/11, 28, 6, , 5, , 
2024/6/12, 13, 9, , 6, , 
2024/6/13, 18, 12, , 8, , 
2024/6/14, 26, 19, , 16, , 
2024/6/15, 36, 8, , 6, , 
2024/6/16, 16, 26, , 6, , 
2024/6/17, 51, 9, , 10, , 
2024/6/18, 35, 10, , 12, , 
2024/6/19, 38, 9, , 10, , 
2024/6/20, 26, 10, , 10, , 
2024/6/21, 23, 10, , 10, , 
2024/6/22, 22, 10, , 9, , 
2024/6/23, 26, 9, , 3, , 
2024/6/24, 24, 12, , 7, , 
2024/6/25, 30, 25, , 12, , 
2024/6/26, 51, 29, , 9, , 
2024/6/27, 66, 29, , 10, , 
2024/6/28, 36, 29, , 6, , 
2024/6/29, 43, 17, , 4, , 
2024/6/30, 50, 11, , 5, , 
2024/7/1, 32, 9, , 7, , 
2024/1/2, 63, 28, , 25, , 
2024/1/3, 57, 14, , 16, , 
2024/1/4, 37, 13, , 20, , 
2024/1/5, 36, 8, , 10, , 
2024/1/6, 18, 7, , 9, , 
2024/1/7, 16, 8, , 14, , 
2024/1/8, 19, 22, , 29, , 
2024/1/9, 48, 22, , 23, , 
2024/1/10, 51, 23, , 18, , 
2024/1/11, 56, 8, , 13, , 
2024/1/12, 17, 12, , 17, , 
2024/1/13, 27, 23, , 23, , 
2024/1/14, 54, 24, , 19, , 
2024/1/15, 65, 13, , 13, , 
2024/1/16, 39, 20, , 15, , 
2024/1/17, 39, 11, , 11, , 
2024/1/18, 23, 13, , 11, , 
2024/1/19, 21, 12, , 9, , 
2024/1/20, 13, 14, , 9, , 
2024/1/21, 21, 25, , 16, , 
2024/1/22, 56, 40, , 25, , 
2024/1/23, 84, 39, , 27, , 
2024/1/24, 81, 32, , 28, , 
2024/1/25, 56, 30, , 27, , 
2024/1/26, 54, 27, , 27, , 
2024/1/27, 45, 16, , 18, , 
2024/1/28, 35, 17, , 18, , 
2024/1/29, 42, 23, , 17, , 
2024/1/30, 49, 38, , 24, , 
2024/1/31, 76, 33, , 21, , 
2024/2/1, 70, 35, , 23, , 
2024/2/2, 61, 32, , 20, , 
2024/2/3, 53, 19, , 16, , 
2024/2/4, 42, 19, , 20, , 
2024/2/5, 42, 27, , 27, , 
2024/2/6, 53, 39, , 26, , 
2024/2/7, 77, 28, , 13, , 
2024/2/8, 58, 32, , 13, , 
2024/2/9, 54, 11, , 12, , 
2024/2/10, 27, 7, , 5, , 
2024/2/11, 15, 9, , 6, , 
2024/2/12, 22, 12, , 8, , 
