date, pm25, pm10, o3, no2, so2, co
2025/4/15, 14, 3, , 4, , 
2025/4/16, 15, 5, , 5, , 
2025/4/17, 18, 4, , 5, , 
2025/4/18, 16, 3, , 2, , 
2025/4/19, 12, 3, , 4, , 
2025/4/20, 15, 6, , 9, , 
2025/4/21, 25, 5, , 5, , 
2025/4/22, 20, 9, , 14, , 
2025/4/23, 32, 10, , 17, , 
2025/4/24, 43, 11, , 13, , 
2025/4/25, 46, 6, , 5, , 
2025/4/26, 27, 6, , 7, , 
2025/4/27, 28, 7, , 11, , 
2025/4/28, 28, 10, , 8, , 
2025/4/29, 43, 9, , 9, , 
2025/4/30, 35, 12, , 9, , 
2025/5/1, 45, 10, , 7, , 
2025/5/2, 39, , , , , 
2025/5/4, 13, 5, , 12, , 
2025/5/5, 19, 8, , 10, , 
2025/5/6, 33, 8, , 8, , 
2025/5/7, 33, 7, , 11, , 
2025/5/8, 29, 6, , 11, , 
2025/5/9, 23, 8, , 11, , 
2025/5/10, 33, 6, , 4, , 
2025/5/11, 25, 10, , 8, , 
2025/5/12, 40, 9, , 9, , 
2025/5/13, 36, 9, , 13, , 
2025/5/14, 37, 8, , 8, , 
2025/5/15, 32, 10, , 11, , 
2025/5/16, 37, 11, , 12, , 
2025/5/17, 44, 11, , 9, , 
2025/5/18, 45, 7, , 5, , 
2025/5/19, 30, 7, , 9, , 
2025/5/20, 29, 9, , 9, , 
2025/5/21, 35, 8, , 8, , 
2025/5/22, 34, 6, , 9, , 
2025/5/23, 25, 6, , 7, , 
2025/5/24, 25, 11, , 10, , 
2025/5/25, 45, 12, , 11, , 
2025/5/26, 45, 11, , 12, , 
2025/5/27, 40, 15, , 17, , 
2025/5/28, 55, 16, , 18, , 
2025/5/29, 58, 23, , 17, , 
2025/5/30, 75, 18, , 12, , 
2025/5/31, 62, 19, , 9, , 
2025/6/1, 64, 16, , 11, , 
2025/6/2, 55, 14, , 7, , 
2025/6/3, 43, 22, , 7, , 
2025/6/4, 42, 13, , 10, , 
2025/6/5, 37, 14, , 12, , 
2025/6/6, 41, 10, , 9, , 
2025/6/7, 39, , , , , 
2025/6/8, 61, 23, , 12, , 
2025/6/9, 69, 23, , 14, , 
2025/6/10, 70, 35, , 11, , 
2025/6/11, 106, 61, , 13, , 
2025/6/12, 82, 9, , 15, , 
2025/6/13, 25, 15, , 13, , 
2025/6/14, 51, 18, , 10, , 
2025/6/15, 61, 32, , 10, , 
2025/6/16, 79, 22, , 23, , 
2025/6/17, 78, 21, , 15, , 
2025/6/18, 65, 21, , 13, , 
2025/6/19, 69, 24, , 13, , 
2025/6/20, 60, 35, , 13, , 
2025/6/21, 61, 27, , 9, , 
2025/6/22, 52, 33, , 14, , 
2025/6/23, 63, 39, , 14, , 
2025/6/24, 70, 24, , 7, , 
2025/6/25, 49, 15, , 15, , 
2025/6/26, 21, 27, , 22, , 
2025/6/27, 53, 27, , 19, , 
2025/6/28, 56, 26, , 13, , 
2025/6/29, 53, 28, , 13, , 
2025/6/30, 47, 28, , 14, , 
2025/1/6, 13, 5, , 10, , 
2025/1/7, 20, 6, , 12, , 
2025/1/8, 21, 6, , 7, , 
2025/1/9, 19, 6, , 10, , 
2025/1/10, 23, 7, , 11, , 
2025/1/11, 26, 8, , 19, , 
2025/1/12, 30, 11, , 30, , 
2025/1/13, 46, 14, , 30, , 
2025/1/14, 51, 22, , 33, , 
2025/1/15, 72, 15, , 23, , 
2025/1/16, 51, 8, , 18, , 
2025/1/17, 33, 12, , 23, , 
2025/1/18, 55, 16, , 22, , 
2025/1/19, 61, 15, , 26, , 
2025/1/20, 60, 10, , 23, , 
2025/1/21, 49, 5, , 18, , 
2025/1/22, 28, 8, , 26, , 
2025/1/23, 37, 9, , 17, , 
2025/1/24, 38, 5, , 7, , 
2025/1/25, 22, 6, , 10, , 
2025/1/26, 29, 4, , 4, , 
2025/1/27, 18, 4, , 7, , 
2025/1/28, 16, 6, , 15, , 
2025/1/29, 24, 5, , 10, , 
2025/1/30, 22, 10, , 23, , 
2025/1/31, 37, 16, , 27, , 
2025/2/1, 62, 11, , 18, , 
2025/2/2, 45, 4, , 12, , 
2025/2/3, 18, 15, , 28, , 
2025/2/4, 56, 14, , 25, , 
2025/2/5, 53, 14, , 27, , 
2025/2/6, 52, 13, , 20, , 
2025/2/7, 51, 6, , 15, , 
2025/2/8, 28, 15, , 21, , 
2025/2/9, 60, 16, , 21, , 
2025/2/10, 61, 11, , 20, , 
2025/2/11, 48, 4, , 10, , 
2025/2/12, 17, 9, , 24, , 
2025/2/13, 38, 13, , 23, , 
2025/2/14, 52, 13, , 21, , 
2025/2/15, 52, 12, , 13, , 
2025/2/16, 48, 11, , 20, , 
2025/2/17, 46, 14, , 22, , 
2025/2/18, 57, 15, , 24, , 
2025/2/19, 58, 11, , 22, , 
2025/2/20, 43, 12, , 17, , 
2025/2/21, 51, 4, , 9, , 
2025/2/22, 18, 7, , 16, , 
2025/2/23, 32, 10, , 17, , 
2025/2/24, 43, , , , , 
2025/2/25, 26, 7, , 17, , 
2025/2/26, 33, , , , , 
2025/2/27, 71, 9, , 16, , 
2025/2/28, 44, 8, , 7, , 
2025/3/1, 36, , , , , 
2025/3/4, 27, 7, , 20, , 
2025/3/5, 26, 5, , 19, , 
2025/3/6, 23, 7, , 19, , 
2025/3/7, 28, 2, , 10, , 
2025/3/8, 10, 3, , 9, , 
2025/3/9, 13, 4, , 14, , 
2025/3/10, 17, 4, , 14, , 
2025/3/11, 16, 5, , 11, , 
2025/3/12, 23, 6, , 16, , 
2025/3/13, 25, 5, , 11, , 
2025/3/14, 20, 8, , 17, , 
2025/3/15, 33, 5, , 9, , 
2025/3/16, 24, 7, , 20, , 
2025/3/17, 31, 3, , 16, , 
2025/3/18, 16, 5, , 14, , 
2025/3/19, 20, 7, , 13, , 
2025/3/20, 29, 2, , 9, , 
2025/3/21, 9, 2, , 6, , 
2025/3/22, 9, 4, , 8, , 
2025/3/23, 18, 4, , 11, , 
2025/3/24, 19, 5, , 14, , 
2025/3/25, 23, 9, , 15, , 
2025/3/26, 35, 8, , 14, , 
2025/3/27, 34, 9, , 17, , 
2025/3/28, 40, 10, , 19, , 
2025/3/29, 40, 6, , 15, , 
2025/3/30, 26, 11, , 21, , 
2025/3/31, 43, 13, , 17, , 
2024/10/1, 30, , , , , 
2024/11/28, 61, 20, , 23, , 
2024/11/29, 62, 26, , 38, , 
2024/11/30, 70, 28, , 36, , 
2024/12/1, 81, 22, , 23, , 
2024/12/2, 64, 11, , 12, , 
2024/12/3, 43, 6, , 2, , 
2024/12/4, 27, 18, , 33, , 
2024/12/5, 54, 22, , 28, , 
2024/12/6, 72, 10, , 11, , 
2024/12/7, 37, 5, , 14, , 
2024/12/8, 19, 5, , 14, , 
2024/12/9, 17, 10, , 22, , 
2024/12/10, 34, 7, , 16, , 
2024/12/11, 22, 9, , 23, , 
2024/12/12, 35, 9, , 21, , 
2024/12/13, 36, 20, , 21, , 
2024/12/14, 68, 17, , 23, , 
2024/12/15, 62, 11, , 25, , 
2024/12/16, 41, 16, , 29, , 
2024/12/17, 57, 24, , 34, , 
2024/12/18, 76, 13, , 19, , 
2024/12/19, 44, 9, , 23, , 
2024/12/20, 32, 12, , 25, , 
2024/12/21, 49, 13, , 17, , 
2024/12/22, 50, 7, , 20, , 
2024/12/23, 28, 10, , 26, , 
2024/12/24, 41, 10, , 22, , 
2024/12/25, 39, 14, , 24, , 
2024/12/26, 55, 12, , 22, , 
2024/12/27, 48, 11, , 19, , 
2024/12/28, 49, 13, , 20, , 
2024/12/29, 53, , , , , 
2024/7/1, 31, 9, , 8, , 
2024/7/2, 18, 13, , 12, , 
2024/7/3, 35, 21, , 22, , 
2024/7/4, 40, 27, , 14, , 
2024/7/5, 52, 20, , 7, , 
2024/7/6, 49, 14, , 6, , 
2024/7/7, 32, 18, , 12, , 
2024/7/8, 39, 16, , 11, , 
2024/7/9, 37, 12, , 9, , 
2024/7/10, 28, 14, , 11, , 
2024/7/11, 27, 11, , 10, , 
2024/7/12, 26, 13, , 8, , 
2024/7/13, 29, 11, , 8, , 
2024/7/14, 24, 15, , 6, , 
2024/7/15, 28, 11, , 10, , 
2024/7/16, 20, , , , , 
2024/7/18, 52, 29, , 17, , 
2024/7/19, 62, , , , , 
2024/7/22, 21, 10, , 12, , 
2024/7/23, 19, 15, , 8, , 
2024/7/24, 32, , , , , 
2024/7/26, 38, , , , , 
2024/7/30, 34, 29, , 13, , 
2024/7/31, 43, 23, , 6, , 
2024/8/1, 53, 16, , 10, , 
2024/8/2, 27, , , , , 
2024/8/5, 25, 18, , 15, , 
2024/8/6, 45, 16, , 14, , 
2024/8/7, 32, 25, , 18, , 
2024/8/8, 42, 34, , 21, , 
2024/8/9, 52, 26, , 12, , 
2024/8/10, 41, 24, , 9, , 
2024/8/11, 40, 22, , 9, , 
2024/8/12, 43, 18, , 8, , 
2024/8/13, 40, 6, , 8, , 
2024/8/14, 13, , , , , 
2024/8/18, 22, 21, , 10, , 
2024/8/19, 72, , , , , 
2024/8/23, 32, 23, , 6, , 
2024/8/24, 51, 18, , 7, , 
2024/8/25, 33, 20, , 6, , 
2024/8/26, 47, , , , , 
2024/8/30, 44, 18, , 6, , 
2024/8/31, 42, 20, , 5, , 
2024/9/1, 43, 19, , 8, , 
2024/9/2, 35, 16, , 5, , 
2024/9/3, 42, 9, , 5, , 
2024/9/4, 15, 15, , 6, , 
2024/9/5, 36, 10, , 6, , 
2024/9/6, 22, 9, , 5, , 
2024/9/7, 16, 7, , 3, , 
2024/9/8, 17, 18, , 20, , 
2024/9/9, 27, 16, , 14, , 
2024/9/10, 37, 11, , 9, , 
2024/9/11, 24, 11, , 6, , 
2024/9/12, 19, 6, , 4, , 
2024/9/13, 13, 21, , 15, , 
2024/9/14, 43, 19, , 16, , 
2024/9/15, 34, 18, , 10, , 
2024/9/16, 27, 18, , 14, , 
2024/9/17, 24, 22, , 9, , 
2024/9/18, 35, 16, , 10, , 
2024/9/19, 33, 15, , 13, , 
2024/9/20, 40, 15, , 6, , 
2024/9/21, 37, 17, , 5, , 
2024/9/22, 53, 22, , 10, , 
2024/9/23, 59, 20, , 10, , 
2024/9/24, 41, 9, , 3, , 
2024/9/25, 20, 17, , 3, , 
2024/9/26, 27, 6, , 3, , 
2024/9/27, 12, 9, , 11, , 
2024/9/28, 25, 19, , 19, , 
2024/9/29, 41, 21, , 30, , 
2024/9/30, 38, 13, , 17, , 
2024/4/1, 13, 10, , 14, , 
2024/4/2, 22, 9, , 14, , 
2024/4/3, 20, 16, , 22, , 
2024/4/4, 37, 17, , 21, , 
2024/4/5, 37, 36, , 21, , 
2024/4/6, 58, 34, , 12, , 
2024/4/7, 57, 9, , 6, , 
2024/4/8, 23, 7, , 9, , 
2024/4/9, 15, 11, , 14, , 
2024/4/10, 24, 11, , 15, , 
2024/4/11, 21, 20, , 23, , 
2024/4/12, 35, 23, , 22, , 
2024/4/13, 46, 25, , 20, , 
2024/4/14, 50, 32, , 19, , 
2024/4/15, 56, 24, , 12, , 
2024/4/16, 37, 9, , 10, , 
2024/4/17, 15, 10, , 10, , 
2024/4/18, 17, 15, , 16, , 
2024/4/19, 27, 15, , 13, , 
2024/4/20, 34, 12, , 8, , 
2024/4/21, 26, 12, , 9, , 
2024/4/22, 19, 8, , 9, , 
2024/4/23, 16, 10, , 9, , 
2024/4/24, 22, 13, , 15, , 
2024/4/25, 25, 12, , 12, , 
2024/4/26, 23, 7, , 5, , 
2024/4/27, 16, 7, , 7, , 
2024/4/28, 19, 9, , 12, , 
2024/4/29, 23, 11, , 10, , 
2024/4/30, 27, 5, , 3, , 
2024/5/1, 10, 7, , 5, , 
2024/5/2, 16, 7, , 8, , 
2024/5/3, 17, 8, , 7, , 
2024/5/4, 18, 8, , 5, , 
2024/5/5, 22, 7, , 8, , 
2024/5/6, 23, 11, , 12, , 
2024/5/7, 24, 12, , 16, , 
2024/5/8, 25, 18, , 22, , 
2024/5/9, 30, 22, , 24, , 
2024/5/10, 43, 16, , 10, , 
2024/5/11, 31, 18, , 12, , 
2024/5/12, 38, 18, , 12, , 
2024/5/13, 34, 7, , 4, , 
2024/5/14, 17, 6, , 3, , 
2024/5/15, 15, 12, , 6, , 
2024/5/16, 23, 7, , 6, , 
2024/5/17, 17, 7, , 6, , 
2024/5/18, 16, 8, , 6, , 
2024/5/19, 20, 9, , 9, , 
2024/5/20, 21, 8, , 8, , 
2024/5/21, 22, 8, , 4, , 
2024/5/22, 20, 16, , 8, , 
2024/5/23, 36, 18, , 11, , 
2024/5/24, 36, 18, , 14, , 
2024/5/25, 37, 14, , 10, , 
2024/5/26, 30, 16, , 11, , 
2024/5/27, 34, 23, , 14, , 
2024/5/28, 37, 22, , 16, , 
2024/5/29, 41, 26, , 13, , 
2024/5/30, 43, 15, , 11, , 
2024/5/31, 21, 13, , 7, , 
2024/6/1, 22, 18, , 10, , 
2024/6/2, 28, 20, , 9, , 
2024/6/3, 35, 17, , 11, , 
2024/6/4, 35, 24, , 15, , 
2024/6/5, 45, 39, , 19, , 
2024/6/6, 62, 38, , 17, , 
2024/6/7, 50, 42, , 10, , 
2024/6/8, 104, 23, , 7, , 
2024/6/9, 67, 10, , 10, , 
2024/6/10, 27, 11, , 10, , 
2024/6/11, 28, 11, , 9, , 
2024/6/12, 25, 12, , 9, , 
2024/6/13, 29, 16, , 14, , 
2024/6/14, 34, 8, , 6, , 
2024/6/15, 22, 10, , 7, , 
2024/6/16, 21, 12, , 9, , 
2024/6/17, 24, 15, , 13, , 
2024/6/18, 30, 10, , 8, , 
2024/6/19, 24, 8, , 8, , 
2024/6/20, 19, 9, , 10, , 
2024/6/21, 23, 12, , 12, , 
2024/6/22, 32, 8, , 7, , 
2024/6/23, 19, 10, , 10, , 
2024/6/24, 23, 18, , 14, , 
2024/6/25, 41, 21, , 12, , 
2024/6/26, 46, 32, , 17, , 
2024/6/27, 50, 21, , 10, , 
2024/6/28, 35, 8, , 4, , 
2024/6/29, 23, 11, , 6, , 
2024/6/30, 26, 13, , 11, , 
2024/1/1, 63, 28, , 21, , 
2024/1/2, 59, 14, , 13, , 
2024/1/3, 47, 13, , 16, , 
2024/1/4, 45, 7, , 5, , 
2024/1/5, 23, 6, , 6, , 
2024/1/6, 21, 11, , 15, , 
2024/1/7, 34, 19, , 21, , 
2024/1/8, 51, 20, , 19, , 
2024/1/9, 56, 19, , 16, , 
2024/1/10, 59, 12, , 14, , 
2024/1/11, 40, 16, , 18, , 
2024/1/12, 44, 23, , 21, , 
2024/1/13, 63, 26, , 19, , 
2024/1/14, 74, 10, , 12, , 
2024/1/15, 35, 16, , 10, , 
2024/1/16, 35, 8, , 6, , 
2024/1/17, 27, 8, , 9, , 
2024/1/18, 23, 8, , 12, , 
2024/1/19, 28, 10, , 11, , 
2024/1/20, 33, 20, , 15, , 
2024/1/21, 61, 30, , 18, , 
2024/1/22, 78, 35, , 20, , 
2024/1/23, 86, 23, , 20, , 
2024/1/24, 54, 28, , 21, , 
2024/1/25, 62, 29, , 21, , 
2024/1/26, 63, 22, , 18, , 
2024/1/27, 55, 19, , 17, , 
2024/1/28, 54, 27, , 19, , 
2024/1/29, 62, 35, , 22, , 
2024/1/30, 75, 33, , 17, , 
2024/1/31, 74, 34, , 18, , 
2024/2/1, 70, 26, , 18, , 
2024/2/2, 55, 22, , 18, , 
2024/2/3, 54, 21, , 21, , 
2024/2/4, 57, 22, , 21, , 
2024/2/5, 54, 28, , 17, , 
2024/2/6, 69, 21, , 12, , 
2024/2/7, 54, 26, , 15, , 
2024/2/8, 57, 9, , 12, , 
2024/2/9, 32, 6, , 3, , 
2024/2/10, 22, 8, , 5, , 
2024/2/11, 25, 9, , 8, , 
2024/2/12, 29, 18, , 14, , 
2024/2/13, 45, 21, , 17, , 
2024/2/14, 57, 20, , 17, , 
2024/2/15, 56, 10, , 16, , 
2024/2/16, 30, 15, , 19, , 
2024/2/17, 45, 14, , 18, , 
2024/2/18, 44, 16, , 19, , 
2024/2/19, 44, 17, , 20, , 
2024/2/20, 42, 22, , 18, , 
2024/2/21, 59, 13, , 8, , 
2024/2/22, 38, 7, , 5, , 
2024/2/23, 19, 5, , 5, , 
2024/2/24, 18, 9, , 2, , 
2024/2/25, 31, 7, , 3, , 
2024/2/26, 21, 8, , 10, , 
2024/2/27, 22, 12, , 19, , 
2024/2/28, 30, 14, , 13, , 
2024/2/29, 37, 8, , 6, , 
2024/3/1, 24, 8, , 5, , 
2024/3/2, 27, 7, , 6, , 
2024/3/3, 20, 10, , 7, , 
2024/3/4, 25, 8, , 11, , 
2024/3/5, 23, 14, , 21, , 
2024/3/6, 37, 18, , 21, , 
2024/3/7, 46, 8, , 8, , 
2024/3/8, 25, 5, , 3, , 
2024/3/9, 15, , , , , 
2024/3/19, 62, 50, , 17, , 
2024/3/20, 71, 28, , 17, , 
2024/3/21, 45, 40, , 25, , 
2024/3/22, 58, 44, , 17, , 
2024/3/23, 66, 28, , 11, , 
2024/3/24, 47, 20, , 9, , 
2024/3/25, 36, 5, , 4, , 
2024/3/26, 13, 4, , 3, , 
2024/3/27, 11, 4, , 3, , 
2024/3/28, 10, 3, , 5, , 
2024/3/29, 12, 5, , 9, , 
2024/3/30, 14, 3, , 5, , 
2024/3/31, 12, 4, , 8, , 
2023/10/1, 57, 25, , 22, , 
2023/10/2, 47, 30, , 30, , 
2023/10/3, 58, 33, , 24, , 
2023/10/4, 60, 41, , 30, , 
2023/10/5, 70, 36, , 28, , 
2023/10/6, 60, 33, , 26, , 
2023/10/7, 57, 32, , 22, , 
2023/10/8, 61, 35, , 30, , 
2023/10/9, 62, 36, , 32, , 
2023/10/10, 62, 34, , 30, , 
2023/10/11, 60, 36, , 25, , 
2023/10/12, 63, 33, , 19, , 
2023/10/13, 58, 29, , 14, , 
2023/10/14, 66, 26, , 10, , 
2023/10/15, 66, 15, , 12, , 
2023/10/16, 39, 24, , 14, , 
2023/10/17, 44, 10, , 4, , 
2023/10/18, 31, 11, , 11, , 
2023/10/19, 37, 11, , 5, , 
2023/10/20, 29, 11, , 11, , 
2023/10/21, 27, 14, , 13, , 
2023/10/22, 42, 12, , 10, , 
2023/10/23, 42, 12, , 8, , 
2023/10/24, 36, 14, , 6, , 
2023/10/25, 38, 12, , 7, , 
2023/10/26, 34, 14, , 7, , 
2023/10/27, 36, 12, , 5, , 
2023/10/28, 33, 13, , 8, , 
2023/10/29, 36, 13, , 10, , 
2023/10/30, 39, 24, , 22, , 
2023/10/31, 51, 20, , 10, , 
2023/11/1, 53, 11, , 5, , 
2023/11/2, 34, 11, , 7, , 
2023/11/3, 30, 12, , 3, , 
2023/11/4, 37, 17, , 4, , 
2023/11/5, 41, 11, , 13, , 
2023/11/6, 30, 14, , 18, , 
2023/11/7, 35, 17, , 16, , 
2023/11/8, 45, 15, , 7, , 
2023/11/9, 43, 16, , 10, , 
2023/11/10, 43, 13, , 4, , 
2023/11/11, 44, 14, , 5, , 
2023/11/12, 45, 19, , 14, , 
2023/11/13, 52, 30, , 21, , 
2023/11/14, 74, 36, , 20, , 
2023/11/15, 82, 36, , 23, , 
2023/11/16, 84, 29, , 23, , 
2023/11/17, 71, 26, , 19, , 
2023/11/18, 62, 28, , 19, , 
2023/11/19, 69, 29, , 22, , 
2023/11/20, 70, 16, , 17, , 
2023/11/21, 43, 12, , 14, , 
2023/11/22, 27, 17, , 24, , 
2023/11/23, 33, 30, , 30, , 
2023/11/24, 62, 37, , 28, , 
2023/11/25, 75, 38, , 23, , 
2023/11/26, 71, 32, , 18, , 
2023/11/27, 72, 16, , 12, , 
2023/11/28, 51, 11, , 9, , 
2023/11/29, 36, 11, , 9, , 
2023/11/30, 38, 9, , 10, , 
2023/12/1, 27, 8, , 14, , 
2023/12/2, 24, 19, , 18, , 
2023/12/3, 54, 12, , 15, , 
2023/12/4, 38, 14, , 22, , 
2023/12/5, 34, 18, , 21, , 
2023/12/6, 45, 26, , 21, , 
2023/12/7, 73, 13, , 7, , 
2023/12/8, 38, 14, , 12, , 
2023/12/9, 40, 12, , 8, , 
2023/12/10, 42, 19, , 15, , 
2023/12/11, 52, 24, , 20, , 
2023/12/12, 61, 11, , 9, , 
2023/12/13, 32, 16, , 24, , 
2023/12/14, 39, 20, , 26, , 
2023/12/15, 51, 21, , 24, , 
2023/12/16, 58, 21, , 22, , 
2023/12/17, 55, 34, , 34, , 
2023/12/18, 78, 34, , 31, , 
2023/12/19, 78, 17, , 20, , 
2023/12/20, 42, 27, , 35, , 
2023/12/21, 55, 26, , 26, , 
2023/12/22, 61, 23, , 20, , 
2023/12/23, 58, 20, , 17, , 
2023/12/24, 53, 28, , 17, , 
2023/12/25, 76, 37, , 19, , 
2023/12/26, 91, 35, , 22, , 
2023/12/27, 81, 41, , 22, , 
2023/12/28, 89, 46, , 22, , 
2023/12/29, 102, 32, , 19, , 
2023/12/30, 82, 15, , 7, , 
2023/12/31, 50, 24, , 15, , 
2023/7/3, 43, 18, , 10, , 
2023/7/4, 40, 24, , 14, , 
2023/7/5, 41, 28, , 14, , 
2023/7/6, 51, 27, , 15, , 
2023/7/7, 51, 19, , 9, , 
2023/7/8, 31, 20, , 13, , 
2023/7/9, 34, 27, , 20, , 
2023/7/10, 44, 32, , 19, , 
2023/7/11, 50, 21, , 17, , 
2023/7/12, 41, 20, , 14, , 
2023/7/13, 30, 27, , 16, , 
2023/7/14, 53, 16, , 6, , 
2023/7/15, 34, 14, , 9, , 
2023/7/16, 30, 33, , 24, , 
2023/7/17, 56, 48, , 19, , 
2023/7/18, 67, 52, , 14, , 
2023/7/19, 65, 33, , 18, , 
2023/7/20, 44, 17, , 8, , 
2023/7/21, 32, 19, , 10, , 
2023/7/22, 36, 39, , 16, , 
2023/7/23, 83, 20, , 10, , 
